Company,Time Period,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Tekion,Six Months,HARD,Best Time to Buy and Sell Stock III,88.0,0.507268943,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
Jump Trading,More Than Six Months,HARD,Best Time to Buy and Sell Stock IV,100.0,0.466251413,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
Geico,Three Months,MEDIUM,Best Time to Buy and Sell Stock with Cooldown,100.0,0.601236166,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
Apple,Three Months,MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,61.3,0.702332611,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
Riot Games,Three Months,MEDIUM,Better Compression of String,100.0,0.75701684,https://leetcode.com/problems/better-compression-of-string,"Hash Table, String, Sorting, Counting"
Google,Six Months,EASY,Big Countries,42.0,0.681905939,https://leetcode.com/problems/big-countries,Database
X,More Than Six Months,EASY,Binary Gap,66.6,0.64528256,https://leetcode.com/problems/binary-gap,Bit Manipulation
Cognizant,More Than Six Months,EASY,Binary Search,62.8,0.593993382,https://leetcode.com/problems/binary-search,"Array, Binary Search"
Media.net,More Than Six Months,MEDIUM,Binary Search Tree Iterator,62.9,0.746195515,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
eBay,More Than Six Months,MEDIUM,Binary Search Tree to Greater Sum Tree,75.2,0.882420095,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
DE Shaw,Thirty Days,HARD,Binary Tree Cameras,100.0,0.47091557,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
Snowflake,More Than Six Months,EASY,Binary Tree Inorder Traversal,49.2,0.783727434,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
Gojek,More Than Six Months,MEDIUM,Binary Tree Level Order Traversal,100.0,0.703109477,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
Revolut,All,MEDIUM,Binary Tree Level Order Traversal II,63.6,0.657831219,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,"Tree, Breadth-First Search, Binary Tree"
Walmart Labs,More Than Six Months,MEDIUM,Binary Tree Longest Consecutive Sequence,42.4,0.54068402,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,"Tree, Depth-First Search, Binary Tree"
Directi,More Than Six Months,HARD,Binary Tree Maximum Path Sum,100.0,0.411184486,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
